Coder,Participant,Overal,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29
Annot1,1,4,3,4,4,5,4,4,4,3,3,4,4,4,4,5,3,3,3,3,,,,,,,,,,,
Annot1,2,5,3,4,4,3,4,4,4,4,3,4,4,5,5,3,3,4,5,5,5,5,3,3,4,3,,,,,
Annot1,3,2,3,3,2,2,3,4,4,3,4,3,3,3,3,2,2,2,1,3,3,3,3,3,3,2,2,3,3,,
Annot1,5,3,3,4,4,3,4,4,3,4,3,3,3,3,2,1,3,2,2,3,3,3,3,4,3,4,3,,,,
Annot1,6,3,3,3,2,3,3,4,3,4,4,3,4,3,3,4,3,3,3,3,4,4,3,3,4,4,4,3,,,
Annot1,7,5,3,3,4,4,3,4,4,3,4,2,4,3,3,3,2,3,4,4,3,4,3,3,3,3,2,2,3,,
Annot1,9,1,3,3,3,3,3,3,3,2,1,2,3,3,3,3,2,1,3,3,3,3,2,3,3,3,3,2,,,
Annot1,10,4,3,4,4,4,5,4,4,4,3,4,3,3,2,3,3,3,2,3,3,3,3,,,,,,,,
Annot1,11,3,3,3,3,4,4,4,4,3,4,4,4,4,5,3,3,4,4,3,3,3,3,2,2,2,2,3,3,,
Annot1,13,2,3,3,4,3,3,3,3,3,3,3,2,3,3,3,1,1,2,2,3,3,3,3,3,3,4,3,,,
Annot1,15,4,4,5,5,5,5,4,4,5,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,3,4,,,
Annot1,16,1,3,3,4,4,4,4,4,4,3,3,3,3,4,3,2,2,3,2,1,2,2,2,,,,,,,
Annot1,17,4,3,4,5,5,4,4,4,3,4,4,5,4,4,3,3,3,4,3,4,4,,,,,,,,,
Annot1,18,4,4,3,3,4,4,4,3,3,4,3,4,4,3,2,3,4,4,3,2,3,4,4,,,,,,,
Annot1,19,2,3,3,3,2,2,3,3,4,3,3,2,2,2,3,3,2,3,3,3,2,3,3,4,,,,,,
Annot1,21,2,3,3,3,3,2,3,3,3,2,2,3,3,,,,,,,,,,,,,,,,,
Annot1,22,3,2,2,3,3,3,3,3,2,2,3,3,3,4,4,5,4,3,3,4,4,3,3,2,3,4,,,,
Annot1,23,4,3,4,4,4,3,2,3,4,3,3,3,4,3,4,3,3,3,3,4,4,5,4,,,,,,,
Annot1,25,4,3,4,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,,
Annot1,27,3,3,3,3,3,4,3,2,4,4,3,3,2,2,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,2
Annot1,28,4,3,4,4,4,4,3,4,4,4,3,3,3,3,4,,,,,,,,,,,,,,,
Annot1,29,5,3,3,3,3,3,4,3,4,4,3,5,4,3,4,5,4,4,4,4,4,4,4,3,4,3,5,3,,
Annot1,30,3,3,4,4,3,4,5,4,4,4,3,3,2,3,4,4,4,3,2,4,3,3,2,3,3,2,2,,,
Annot1,31,4,3,4,4,4,3,3,3,4,4,4,4,5,3,4,2,2,3,4,3,2,3,3,3,3,,,,,
Annot1,32,5,3,4,5,4,4,4,5,5,5,5,5,4,5,4,3,3,3,3,4,4,4,3,4,5,,,,,
Annot2,1,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,1,3,2,3,,,,,,,,,,,
Annot2,2,3,4,2,4,4,4,3,4,3,4,4,3,4,3,2,3,4,4,3,4,3,4,2,3,3,,,,,
Annot2,3,1,3,2,1,2,3,3,4,3,3,2,1,2,2,2,2,2,1,1,2,2,3,1,2,2,1,2,3,,
Annot2,5,3,3,3,4,3,2,3,1,3,2,3,3,3,3,1,3,3,3,3,2,3,3,2,3,3,2,,,,
Annot2,6,3,3,3,2,3,1,3,3,3,3,1,3,3,3,2,2,3,3,3,3,3,3,3,2,2,3,4,,,
Annot2,7,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,4,5,5,5,4,4,3,4,4,4,4,,
Annot2,9,4,3,4,3,4,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,2,3,4,3,4,3,,,
