filename,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
P28_T6,35.73719,0.12718527,33.227665,36.51691,39.679394,6.451729,284.8185,306.96118,128.54358,123.00699,0.32448426,0.7777619,0.18128058,0.19379,0.39654976,0.21526918,1.9273056,1.5977829,2.5306919,1.0299063,0.1732524,1.6597561,19.071016,0.43544823,-7.743878,-0.9119134,-1.4044528,-4.858166,-7.779483,-2.0811787,0.045802746,0.94882417,1.3043861,0.41937205,4.651594,0.8900226,5.6378813,2.059697,18.977146,0.41037259,832.1855,0.20490134,1106.9941,0.12487518,-144.05339,-0.5903982,1979.645,0.13161385,899.5763,0.2842232,-143.18073,-0.56155664,2972.344,0.08379881,768.45074,0.5471491,-142.30994,-0.5704811,-14.851188,-0.4290699,21.289865,0.33024937,0.10338522,0.23696338,-0.025420098,-0.82373285,0.44313696,0.8632952,27.492138,0.28868714,-0.5732599,-12.88388,3.797317,1.8991517,-19.541126,-1.2086844,-1.3321108,9.28852,0.0893314,-0.000793886,0.041218165,1.5075377,1.5544041,0.20333333,0.14727148,0.42,0.49558046,-37.59248
P18_T15,34.339287,0.16885556,32.362858,35.960915,38.199684,5.8368263,189.4579,380.9222,128.64809,174.11755,0.3062148,0.41538376,0.18315662,0.28839153,0.40148583,0.2183292,2.3481061,1.2447293,1.7926749,1.150578,0.104343615,0.76527834,21.200657,0.4701828,-2.2241776,-3.7332528,1.6388224,6.833333,-5.0276737,-1.8365269,0.042196095,1.798409,1.243672,0.5285267,5.686599,0.85038525,3.0626678,4.128629,19.233665,0.51160747,701.6925,0.38252714,1282.7611,0.19814864,-91.81162,-0.9998328,1707.1392,0.1710337,986.7371,0.36316934,-87.21413,-0.9797478,2836.7437,0.11256619,876.2224,0.406815,-92.01283,-0.88771075,-12.554461,-0.51045156,24.81851,0.3354041,0.105921164,0.22160529,-0.008972551,-0.90729064,0.13881384,0.5834401,26.39466,0.30079567,-0.9046886,-9.552943,2.8757882,4.53567,-7.0757174,-1.3995038,-3.4053376,11.021608,0.09506176,-0.001313015,0.0486101,2.85,2.3162136,0.25782606,0.34678596,0.15886363,0.24185096,-41.740986
P29_T11,29.026323,0.1672504,25.207481,29.249847,33.381275,8.173794,149.74277,116.96713,90.36269,81.27176,0.7233061,0.85933465,0.20618172,0.5367211,1.1791492,0.97296745,9.695252,5.045284,8.726861,6.672687,0.531459,1.1510097,26.829393,0.46637154,-4.008781,-2.434116,5.522986,2.7838018,-3.4967897,-2.9230278,0.051310282,1.9450878,1.3463053,0.64952713,3.9772716,1.1813943,2.534618,3.7382708,23.456924,0.45724127,698.1315,0.36929166,1235.8224,0.224057,-98.98338,-0.956481,1759.466,0.17672892,898.5169,0.34540936,-100.37905,-0.89342123,2773.5369,0.11047438,913.40546,0.39315078,-103.58139,-0.83985484,-15.581719,-0.4975218,24.4406,0.4201994,0.08884583,0.31432715,-0.023196327,-0.63542163,0.91260177,0.6463983,35.305836,0.29431525,0.55924886,18.525534,13.37993,1.2164717,-4.175883,-3.1379356,-2.9182153,10.864534,0.09164429,-0.001458847,0.06594755,2.1818182,1.0045662,0.53999996,0.37694946,0.5277778,1.0067526,-25.492102
P5_T25,22.983994,0.22867087,18.766348,22.484623,26.026352,7.260004,205.24406,153.2244,122.24442,118.39431,0.33724195,0.64289826,0.16780305,0.24348466,0.50289696,0.33509392,4.472087,2.5255105,3.346392,1.9096907,0.1896675,1.058035,26.099295,0.4492119,3.439931,2.8531613,15.196985,0.74110955,5.5859356,1.6215634,0.07320043,1.6021073,1.5669163,0.61295956,1.1826891,3.350762,9.541227,1.580361,25.610079,0.34494084,601.0773,0.4854982,1197.0281,0.19465223,-86.736885,-1.0174029,1598.102,0.20689411,941.8616,0.25523496,-90.205025,-0.9131924,2651.181,0.1347655,789.32947,0.32649514,-93.79059,-0.8493802,-16.634882,-0.39653435,26.264526,0.29146937,0.010058336,4.1215835,-0.009150866,-1.1742611,0.25963825,0.8551684,31.427488,0.30345973,5.807197,1.5768063,18.204046,0.62052363,5.3904996,1.9804472,-7.7227035,16.371948,0.007783032,-0.00077196,0.08025648,2.7027028,2.923387,0.20068966,0.28595793,0.13346153,0.16394049,-35.064137
P1_T10,25.030033,0.27079928,18.459372,21.651604,31.9748,13.515429,191.70197,103.45102,111.8572,58.992542,0.44140375,0.22009903,0.34961408,0.41822374,0.5412607,0.19164664,2.2804246,0.95696187,1.7970457,1.0164562,0.22954641,0.44538176,25.665894,0.22706418,6.793989,0.66253877,4.428998,1.9367411,-4.949958,-1.6740282,0.09615441,1.4834831,1.5530366,0.5218116,-0.021898283,-162.88019,1.5890344,5.263473,22.603506,0.28176096,596.289,0.3718903,1322.7993,0.14767307,-33.92583,-2.0022101,1667.4854,0.17147113,970.47,0.28692892,-43.323734,-1.4313862,2719.3777,0.1014161,909.5509,0.44487754,-47.30729,-1.2772685,-14.8913145,-0.24073209,23.684809,0.20451267,0.07143155,0.36210516,-0.021720463,-0.39216036,0.2483023,0.4020987,26.878155,0.18050686,6.9743567,0.6402335,5.5709963,1.5386811,-6.1851573,-1.3338797,-9.458105,19.469046,0.045100585,-0.011201225,0.14087151,5.685619,3.7542665,0.21363635,0.24547811,0.051666662,0.045246243,-38.67647
P1_T8,20.897543,0.22893995,17.915773,20.202457,22.621187,4.705414,125.868774,103.40413,96.52373,47.726635,0.3363176,0.20307429,0.2854888,0.30497974,0.38708872,0.1015999,1.1923841,0.764008,0.7554602,0.7588179,0.1212983,0.5054619,20.246393,0.20101584,1.5262477,2.0693917,2.7052474,1.6339029,-1.6115404,-3.4532063,0.062549226,1.3035862,1.3441601,0.6501673,-2.475806,-1.0166739,0.22490062,22.555061,18.580767,0.28921643,650.0572,0.27179226,1360.2163,0.113846675,-117.31668,-0.7859983,1719.3298,0.11965761,1048.0149,0.28994086,-120.781166,-0.72244424,2755.4636,0.09220935,936.6114,0.23505834,-121.954185,-0.7051411,-11.720801,-0.20730992,18.589027,0.20122723,0.05492121,0.5794724,-0.017250078,-0.50526386,0.16243273,0.38721672,23.080053,0.13795418,3.2938998,0.9587216,5.551447,0.80131924,-2.2422445,-3.3964796,-6.8525667,14.335694,0.04245229,-0.009136574,0.08468349,3.5,3.6082475,0.11,0.11313708,0.202,0.17679366,-45.002144
P6_T8,25.62775,0.13268413,23.05159,25.157114,28.187439,5.135849,126.496445,108.62977,71.57918,72.54589,0.42365122,0.25488818,0.3264683,0.40438846,0.5089917,0.18252343,2.027965,1.0188777,1.9432112,1.0258896,0.196945,0.56676066,27.305214,0.23369868,6.6261644,0.8392067,1.9594059,3.2003489,-5.41066,-1.3027387,0.06921766,1.5241163,1.5532985,0.49933153,0.95982087,3.6868417,-0.7188364,-11.86891,23.464973,0.26862183,557.26996,0.33863178,1433.1586,0.18548968,-38.98028,-1.8689903,1532.0566,0.17509586,1182.9266,0.18527374,-48.995434,-1.3637013,2593.3323,0.09500031,945.28064,0.32621384,-54.747025,-1.1738393,-15.600983,-0.2891824,25.337677,0.1904566,0.05892538,0.43517295,-0.025283385,-0.45981973,0.22030678,0.4949593,29.033203,0.19300066,8.156898,0.5946589,2.6914687,2.418505,-6.22881,-1.1685019,-7.16299,15.92987,0.035618275,-0.011567461,0.09116162,4.008016,1.2145749,0.6716666,0.8319338,0.111428574,0.07018924,-37.68972
P25_T20,35.456062,0.06935405,34.154472,36.11117,37.284843,3.130371,65.23619,73.34567,30.183653,21.85035,0.929986,0.88257605,0.24726132,0.62118745,1.624995,1.3777337,14.48017,9.158224,13.084483,6.999416,0.5959847,1.2828587,15.988552,0.71067053,-8.478902,-1.345999,4.4234743,3.1679797,-14.124854,-1.1610085,0.021404447,0.9226979,1.3017713,0.4356638,4.3315682,0.9846976,-0.018272374,-571.88074,14.45873,0.49214533,605.43,0.47859457,1156.142,0.2524128,-105.45953,-0.90489703,1638.9182,0.19116601,739.5432,0.3767629,-85.829765,-1.0793638,2817.5479,0.118005894,705.11755,0.5399691,-90.0636,-0.9892202,-7.4386773,-0.80059886,17.29882,0.4280357,0.114007056,0.23808455,-0.014897625,-0.87529963,0.94780475,0.8641442,21.637257,0.42515948,-9.487448,-1.3932278,3.468282,4.819043,-20.592936,-0.751155,-0.48909643,3.550242,0.08777501,-0.004670098,0.07118058,2.6666667,1.0169492,0.58,0.4971921,0.37666667,0.24073961,-26.337486
P9_T14,27.592516,0.16938056,24.073343,27.256557,31.204752,7.1314087,282.33282,207.57767,228.61238,392.80545,0.42606038,0.38448685,0.29521197,0.3678767,0.52256614,0.22735417,3.8023176,2.6885664,2.711324,1.43646,0.19463858,0.78950506,21.729048,0.3960808,1.133521,5.0133147,2.8692904,3.1251624,-3.5946,-2.0458694,0.059127484,0.89003,1.7265579,0.5397638,-0.28049183,-11.445379,0.610482,19.30195,20.06856,0.63818306,536.49756,0.38554195,1310.9951,0.12504488,-101.69296,-0.93266916,1547.645,0.17622277,1020.96826,0.18522054,-101.33746,-0.8687344,2578.9722,0.10214242,858.24603,0.25770727,-103.513504,-0.8324614,-12.371549,-0.308815,20.799408,0.28119656,0.07447875,0.31600833,-0.017554658,-0.37226334,0.285432,0.5660212,27.297937,0.23613553,2.3264284,2.2706416,5.392392,2.0314317,-5.0065274,-1.6085255,-4.7875614,12.038103,0.045992184,-0.00704673,0.09672867,3.6666667,3.1034484,0.16333334,0.11115555,0.155,0.22271056,-38.504837
P10_T11,21.992266,0.25940835,16.105953,20.303305,27.760326,11.654373,53.94132,32.11304,61.002483,17.25446,0.25169295,0.915466,0.12313477,0.16419475,0.23562539,0.11249062,4.8597703,3.4236617,2.9874783,1.5197177,0.11538585,1.2287904,28.759447,0.28160328,-1.6707219,-4.8459935,7.667923,0.9851624,4.238944,3.1445456,0.08212355,0.7136402,2.3477929,0.48840195,-2.0549982,-1.7741119,-1.803391,-9.611528,20.37889,0.879858,542.0567,0.42363405,1302.4358,0.16812451,-74.16226,-1.310411,1529.8828,0.18381736,1063.5964,0.1672134,-79.288956,-1.162929,2548.6033,0.12081314,1044.5715,0.5084492,-83.863174,-1.0586516,-15.267899,-0.31878528,26.294235,0.18162067,0.06710818,0.42260575,-0.010966535,-0.95982206,0.17961566,0.88445246,34.721893,0.115273245,1.5355462,5.6823535,8.533246,1.077508,0.31343317,50.711975,-5.9790263,15.934838,0.020031907,0.005454748,0.026101308,1.0101011,1.0638298,0.57,0,0.35,0,-40.83779
