Turn	Length-Exchange	Lenght-1stPause	Lenght-Robot	Lenght-2ndPause	Length-Person	Percentage-Pause	Percentage-Robot	Percentage-2ndPause	Percentage-Person
1	13000	0	7000	2000	4000	0	53.85	15.38	30.77
2	17000	5000	5000	0	7000	29.41	29.41	0	41.18
3	35000	6000	9000	1000	19000	17.14	25.71	2.86	54.29
4	15000	1000	7000	0	7000	6.67	46.67	0	46.67
5	27000	5000	8000	1000	13000	18.52	29.63	3.7	48.15
6	24000	3000	6000	1000	14000	12.5	25	4.17	58.33
7	20000	4000	6000	1000	9000	20	30	5	45
8	24000	5000	6000	0	13000	20.83	25	0	54.17
9	15000	2000	6000	1000	6000	13.33	40	6.67	40
10	14000	0	6000	1000	7000	0	42.86	7.14	50
11	18000	5000	6000	0	7000	27.78	33.33	0	38.89
12	19000	1000	6000	2000	10000	5.26	31.58	10.53	52.63
13	33000	5000	10000	1000	17000	15.15	30.3	3.03	51.52
14	8000	4000	3000	0	1000	50	37.5	0	12.5
15	39000	17000	4000	1000	17000	43.59	10.26	2.56	43.59
16	16000	1000	5000	0	10000	6.25	31.25	0	62.5
17	24000	0	5000	2000	17000	0	20.83	8.33	70.83
18	14000	5000	6000	2000	1000	35.71	42.86	14.29	7.14
19	22000	4000	11000	0	7000	18.18	50	0	31.82
20	20000	2000	4000	1000	13000	10	20	5	65
21	9000	0	8000	0	1000	0	88.89	0	11.11
22	34000	9000	12000	0	13000	26.47	35.29	0	38.24
